allDay,dayOfWeek,startHour,endHour
false,1,1800,2130
false,1,1200,1600
false,7,1100,2000
false,6,1100,2000
false,5,1100,2000
false,4,1100,2000
false,3,1100,2000
false,2,1100,2000
false,1,1100,2000
false,7,1200,230
false,6,1200,230
false,5,1200,200
false,4,1200,200
false,3,1200,200
false,2,1200,200
false,1,1130,200
false,7,1000,1900
false,6,730,1900
false,5,730,1900
false,4,730,1900
false,3,730,1900
false,2,730,1900
false,1,1000,1900
false,7,1800,300
false,6,1800,300
false,5,1800,300
false,4,1800,200
false,3,1800,200
false,2,1800,200
false,1,1800,200
false,6,900,1600
false,5,900,1600
false,4,900,1600
false,3,900,1600
false,2,900,1600
false,7,1200,0
false,6,1200,0
false,5,1200,0
false,4,1200,0
false,3,1200,0
false,2,1200,0
false,7,600,2300
false,6,600,2300
false,5,600,2300
false,4,600,2300
false,3,600,2300
false,2,600,2300
false,1,600,2300
false,7,1730,2300
false,6,1730,2300
false,5,1730,2300
false,4,1730,2300
false,1,1730,2300
false,7,1000,0
false,6,1000,0
false,5,1000,0
false,4,1000,0
false,3,1000,0
false,2,1000,0
false,1,1000,0
false,7,800,1400
false,6,800,1800
false,5,800,1800
false,4,800,1800
false,3,800,1800
false,2,800,1800
false,1,800,1400
false,7,1100,0
false,6,1200,0
false,5,1200,2300
false,4,1200,2300
false,3,1200,2300
false,2,1200,2300
false,1,1200,2230
false,6,1200,2300
false,5,1200,2300
false,4,1200,2300
false,3,1200,2300
false,2,1200,2300
false,7,1000,1800
false,6,1000,1900
false,5,1000,1900
false,4,1000,1900
false,3,1000,1900
false,2,1000,1900
false,7,800,2200
false,6,630,2200
false,5,630,2200
false,4,630,2200
false,3,630,2200
false,2,630,2200
false,1,1000,1800
false,7,830,1700
false,6,700,1700
false,5,700,1700
false,4,700,1700
false,3,700,1700
false,2,700,1700
false,1,930,1600
false,7,1200,2300
false,6,1200,2300
false,5,1200,2300
false,4,1200,2300
false,3,1200,2300
false,2,1200,2300
false,1,1200,2200
false,7,600,0
false,6,600,0
false,5,600,0
false,4,600,0
false,3,600,0
false,2,600,0
false,1,600,0
false,7,1100,2100
false,6,1100,2100
false,5,1100,2100
false,4,1100,2100
false,3,1100,2100
false,1,1100,2100
false,7,1200,1900
false,6,1200,1900
false,5,1200,1900
false,4,1200,1900
false,3,1200,1900
false,2,1200,1900
false,1,1200,1900
false,7,1200,800
false,6,1030,800
false,5,1030,100
false,4,1200,100
false,3,1030,800
false,2,1030,100
false,1,1200,100
false,7,1800,2200
false,7,800,1500
false,6,1800,2200
false,6,800,1500
false,5,800,1500
false,4,800,1500
false,3,800,1500
false,1,800,1500
false,7,1700,0
false,6,1700,0
false,5,1700,2300
false,4,1700,2300
false,3,1700,2300
false,1,1200,2200
